Type,Line 1,Line 2
Poem,I saw the best minds,of my generation
Poem,destroyed by madness,starving hysterical
Poem,looking for,an angry fix
Poem,angelheaded hipsters,burning
Poem,hollow-eyed and high,sat up smoking
Poem,the starry dynamo,in the machinery
Poem,gaps in time,& space
Poem,expelled from,the academies
Poem,I've given you all,and now I'm nothing
Poem,I can't stand,my own mind
Poem,America,when will you be angelic
Poem,why are your,libraries full of tears
Poem,your life be run,by Instagram
Poem,perpetually awaiting,a rebirth of wonder
Poem,waiting for the Age,of Anxiety to drop dead
Poem,the world is,a beautiful place
Poem,if you don't mind,some people dying
Poem,not half so bad,if it isn't you
Poem,not so far away,somebody is screaming
Poem,poets come out,of your closets
Poem,open your windows,open your doors
Poem,you have been hiding,too long in the dark
Poem,the world is waiting,for a new sign
Poem,pity the nation,whose people are sheep
Poem,pity the nation,whose leaders are liars
Poem,I have just realized,the stakes are myself
Poem,the only war,that matters
Poem,poems are bullshit,unless they are teeth
Poem,we want poems,that kill
Poem,writing poems,on the wall of my mind
Poem,would you wear,my eyes
Poem,budger of history,brake of time
Poem,should I get married,should I be good
Poem,I want to be,a jazz poet
Poem,blowing a long blues,in a jam session
Poem,did I create that sky,yes I am the earth
Poem,lay down these words,like rocks
Poem,stay together,learn the flowers
Poem,locked in our rooms,we must break out
Poem,we're not our grime,we're sunflowers inside
Poem,I here declare,the end of the war
Poem,I'm the fast,speaking woman
Poem,I see no changes,all I see is racist faces
Poem,we gotta make,a change
Poem,the world ain't good,but it ain't all bad
Poem,we gon' be alright,
Poem,sit down,be humble
Poem,I am all of us,
Poem,I never sleep,sleep is cousin of death
Poem,the world is yours,
Poem,whose world is this,the world is yours
Poem,bigger than hip hop,
Poem,the devil crept,into Heaven
Poem,slave masters posing,on your dollar
Poem,everything,is everything
Poem,after winter,must come spring
Poem,those that work forces,burn crosses
Poem,fight the power,
Poem,freedom of speech,is freedom or death
Poem,sorry America,not your soldier
Poem,all we want,is to be free
Mantra,NO KINGS.  NO ICE.  NO WAR.,
MAKE,MAKE,trouble
MAKE,MAKE,connection
MAKE,MAKE,art
MAKE,MAKE,noise
MAKE,MAKE,food
MAKE,MAKE,friends
MAKE,MAKE,out
MAKE,MAKE,dance
MAKE,MAKE,music
MAKE,MAKE,history
MAKE,MAKE,signs
MAKE,MAKE,friction
MAKE,MAKE,love
MAKE,MAKE,resistance
MAKE,MAKE,change
MAKE,MAKE,peace
MAKE,MAKE,action
MAKE,MAKE,movement
MAKE,MAKE,progress
MAKE,MAKE,a call
MAKE,MAKE,shelter
MAKE,MAKE,justice
MAKE,MAKE,a difference
